Src_Player_Id,total_deposit_amount
12331133,13000.0
13070582,10000.0
12472509,10000.0
13906563,10000.0
18021026,9184.0
19823834,7000.0
13654834,7000.0
13660399,7000.0
17623038,6615.0
19096154,6000.0
18337436,5500.0
12572931,5000.0
17950718,5000.0
13650232,5000.0
12853186,5000.0
20408549,5000.0
13822706,5000.0
18040596,4500.0
19255332,4500.0
17314801,4500.0
17242827,4300.0
18024513,4085.0
16550846,4000.0
18785481,4000.0
13636782,4000.0
17525337,4000.0
18434453,4000.0
19909767,4000.0
14620164,4000.0
16769161,4000.0
17853662,3700.0
15837792,3500.0
19342264,3500.0
19266343,3500.0
14981065,3500.0
14923703,3450.0
13029482,3450.0
19287965,3200.0
19821013,3105.93
17347714,3100.0
19068030,3100.0
13412976,3000.0
16542433,3000.0
14576301,3000.0
19079184,3000.0
20382490,3000.0
19439591,3000.0
17473529,3000.0
12857800,3000.0
19406518,3000.0
19255926,3000.0
12802275,3000.0
20239530,3000.0
18593989,3000.0
19760418,3000.0
16769306,3000.0
19167431,3000.0
12857890,3000.0
14999667,3000.0
12639292,3000.0
17080266,3000.0
19618615,3000.0
12993518,3000.0
17057749,3000.0
19066984,3000.0
19464879,3000.0
17080337,3000.0
18024162,3000.0
18986099,3000.0
19908821,3000.0
19560250,3000.0
12456170,2900.0
12768192,2800.0
12777715,2800.0
12796814,2760.0
19810192,2700.0
12747417,2700.0
16160355,2590.0
16800683,2580.0
20209447,2540.0
13816838,2500.0
12622446,2500.0
12572190,2500.0
13070909,2500.0
13284412,2500.0
13364701,2500.0
17012245,2500.0
12461919,2500.0
13714851,2500.0
16371277,2500.0
16188479,2500.0
13112580,2500.0
13028490,2500.0
12841494,2500.0
13043689,2500.0
14943839,2500.0
14940584,2500.0
12387224,2500.0
16188153,2500.0
15490143,2500.0
16585466,2500.0
13411969,2500.0
12493020,2500.0
12491091,2500.0
13712656,2500.0
13267161,2500.0
13206425,2500.0
12486960,2500.0
13281076,2500.0
13404240,2500.0
15623299,2500.0
12580452,2500.0
13379717,2500.0
15362574,2500.0
13439517,2500.0
12562700,2500.0
12784177,2500.0
13096587,2500.0
13067033,2500.0
15828770,2500.0
14859001,2500.0
13709094,2500.0
12706482,2500.0
13009041,2500.0
13512947,2500.0
12604170,2500.0
13154196,2500.0
13059461,2500.0
16228214,2500.0
13835956,2500.0
12708887,2500.0
12625987,2500.0
13154407,2500.0
12549345,2500.0
13436708,2500.0
13460977,2500.0
13456694,2500.0
15850790,2500.0
13376228,2494.0
13284204,2450.0
15084577,2450.0
12826290,2400.0
16620771,2400.0
13231458,2400.0
13015776,2300.0
12733171,2300.0
13246404,2290.0
14968690,2250.0
13744126,2250.0
13117403,2200.0
14576530,2200.0
14739695,2200.0
13075466,2200.0
12793917,2100.0
14797470,2100.0
14513516,2100.0
19077340,2100.0
17484980,2100.0
12729791,2100.0
13939292,2041.0
18003967,2041.0
13473247,2030.0
13953993,2009.0
13839399,2000.0
16421388,2000.0
15850976,2000.0
13390836,2000.0
14762249,2000.0
16772119,2000.0
15190015,2000.0
18381689,2000.0
12770025,2000.0
14989661,2000.0
12446772,2000.0
13329270,2000.0
13006394,2000.0
12438210,2000.0
16277404,2000.0
17227848,2000.0
18048036,2000.0
14874510,2000.0
12738376,2000.0
14989927,2000.0
12870210,2000.0
15711308,2000.0
18433329,2000.0
14492441,2000.0
12453752,2000.0
16534561,2000.0
13232243,2000.0
14977620,2000.0
20388933,2000.0
13247422,2000.0
13155093,2000.0
17165036,2000.0
16224791,2000.0
13287748,2000.0
15021599,2000.0
13167836,2000.0
13827578,2000.0
